"Province_State","Country_Region","Confirmed","Incidence_Rate"
NA,"Afghanistan",38193,98.1187459285768
NA,"Albania",9606,333.796650218917
NA,"Algeria",44833,102.239301354816
NA,"Andorra",1184,1532.38853297094
NA,"Angola",2729,8.3033461541785
NA,"Antigua and Barbuda",94,95.9888897965852
NA,"Argentina",428239,947.519941962719
NA,"Armenia",43878,1480.74704866372
"Australian Capital Territory","Australia",113,26.3957019387993
"New South Wales","Australia",4079,50.2463661000246
"Northern Territory","Australia",33,13.4364820846906
"Queensland","Australia",1126,22.0115335744306
"South Australia","Australia",463,26.3592371192713
"Tasmania","Australia",230,42.9505135387488
"Victoria","Australia",19224,289.959124572015
"Western Australia","Australia",655,24.8992625256595
NA,"Austria",27642,306.915082607923
NA,"Azerbaijan",36578,360.759134742225
NA,"Bahamas",2276,578.769631377655
NA,"Bahrain",52440,3081.83614904474
NA,"Bangladesh",314946,191.236371320913
NA,"Barbados",176,61.2448716119581
NA,"Belarus",71962,761.557364809599
NA,"Belgium",85487,737.617191113148
NA,"Belize",1050,264.070559653539
NA,"Benin",2145,17.6933512098045
NA,"Bhutan",227,29.4189307579457
NA,"Bolivia",117267,1004.59786401627
NA,"Bosnia and Herzegovina",20234,616.736999800355
NA,"Botswana",1724,73.3110083452932
"Acre","Brazil",24840,2816.5340983179
"Alagoas","Brazil",79258,2374.8732904511
"Amapa","Brazil",43514,5145.13480054533
"Amazonas","Brazil",120919,2917.509229486
"Bahia","Brazil",259418,1744.21356621608
"Ceara","Brazil",216333,2368.93508793946
"Distrito Federal","Brazil",163498,5422.33725161412
"Espirito Santo","Brazil",111979,2786.4830229057
"Goias","Brazil",135460,1930.08218166254
"Maranhao","Brazil",152681,2157.98012799955
"Mato Grosso","Brazil",92856,2664.85596358237
"Mato Grosso do Sul","Brazil",49820,1792.74022970969
"Minas Gerais","Brazil",218781,1033.50729855097
"Para","Brazil",200985,2336.25658428907
"Paraiba","Brazil",106605,2653.10180589115
"Parana","Brazil",133574,1168.22198998999
"Pernambuco","Brazil",127287,1331.86203178777
"Piaui","Brazil",77859,2378.66179155922
"Rio Grande do Norte","Brazil",61991,1767.71025189821
"Rio Grande do Sul","Brazil",127799,1123.28659000659
"Rio de Janeiro","Brazil",226800,1313.64464973907
"Rondonia","Brazil",55768,3137.92569877196
"Roraima","Brazil",43707,7215.22184491904
"Santa Catarina","Brazil",180474,2518.90216430688
"Sao Paulo","Brazil",814375,1773.5014503458
"Sergipe","Brazil",72721,3163.57621886496
"Tocantins","Brazil",51629,3282.47924489435
NA,"Brunei",144,32.9155647190862
NA,"Bulgaria",16454,236.801183574167
NA,"Burkina Faso",1370,6.55399598091744
NA,"Burma",919,1.6890341470508
NA,"Burundi",445,3.74239505378158
NA,"Cabo Verde",3970,714.044188004058
NA,"Cambodia",274,1.63885684112976
NA,"Cameroon",19409,73.1149681170671
"Alberta","Canada",14066,318.729541238835
"British Columbia","Canada",5848,114.421736842919
"Diamond Princess","Canada",0,NA
"Grand Princess","Canada",13,NA
"Manitoba","Canada",1232,89.4362828190142
"New Brunswick","Canada",191,24.4873992458907
"Newfoundland and Labrador","Canada",269,51.5953314856195
"Northwest Territories","Canada",5,11.1348654908249
"Nova Scotia","Canada",1085,111.002325421988
"Nunavut","Canada",0,NA
"Ontario","Canada",44418,301.920352924215
"Prince Edward Island","Canada",44,27.8202809848379
"Quebec","Canada",62614,733.384760298882
"Saskatchewan","Canada",1622,137.263829203853
"Yukon","Canada",15,36.5158965869809
NA,"Central African Republic",4711,97.5409978624214
NA,"Chad",1017,6.19145701908192
"Antofagasta","Chile",18192,2994.4003133981
"Araucania","Chile",5185,541.670497187701
"Arica y Parinacota","Chile",6721,2972.99927455456
"Atacama","Chile",5738,1985.8519297857
"Aysen","Chile",124,120.203958975552
"Biobio","Chile",17632,1132.57601305237
"Coquimbo","Chile",10011,1321.43413421051
"Los Lagos","Chile",6659,803.539968239718
"Los Rios","Chile",1124,292.071708281688
"Magallanes","Chile",3643,2187.55441864375
"Maule","Chile",11806,1129.81482367577
"Metropolitana","Chile",274145,3854.24434344355
"Nuble","Chile",4810,1000.81355114032
"OHiggins","Chile",13497,1475.79970586788
"Tarapaca","Chile",10713,3240.88359682718
"Unknown","Chile",56,NA
"Valparaiso","Chile",23089,1271.48932045892
"Anhui","China",991,1.56704617330803
"Beijing","China",935,4.34076137418756
"Chongqing","China",583,1.87943262411348
"Fujian","China",383,0.971834559756407
"Gansu","China",169,0.640879787637467
"Guangdong","China",1742,1.53534285210647
"Guangxi","China",255,0.517661388550548
"Guizhou","China",147,0.408333333333333
"Hainan","China",171,1.83083511777302
"Hebei","China",365,0.483059820010588
"Heilongjiang","China",948,2.51258945136496
"Henan","China",1276,1.32847475273295
"Hong Kong","China",4822,64.3191639095594
